id,name,numbers,index
1,METALLIC ARC WELDING,5,6
2,CARBON ARC WELDING,1,0
3,ATOMIC HYDROGEN ARC WELDING,4,0
4,TUNGSTEN INERT GAS WELDING,6,2
5,METAL INERT GAS WELDING,80,10
6,SUBMERGED ARC WELDING,80,3
7,ELECTRO SLAG WELDING,108,0
8,PLASMA ARC WELDING,108,0
9,FLUX CORED WELDING,108,7
10,SPOT WELDING,108,0
11,SEAM WELDING,108,0
12,BUTT WELDING,108,0
13,FLASH BUTT WELDING,108,0
14,PROJECTION WELDING,109,0
15,OXY-ACETYLENE GAS WELDING,109,1
16,THERMIT WELDING,109,0
17,EXPLOSIVE WELDING,109,1
18,LINEAR FRICTION WELDING,109,2
19,ULTRASONIC WELDING,109,0
20,FORGE WELDING,109,0
21,COLD PRESSURE WELDING,109,0
22,PLASTIC WELDING,109,0
23,LASER BEAM WELDING,109,0
24,ELECTRON BEAM WELDING,109,0
25,ELECTRIC WELDING,109,0
26,GAS WELDING,109,0
27,CHEMICAL WELDING,108,0
28,RADIATION WELDING,109,0
29,MECHANICAL WELDING,109,0
30,ELECTRIC ARC,109,0
31,ELECTRIC RESISTANCE,109,0
32,WELDING PROCESSES,5,0
33,BEARINGS,1,1
34,BUSHINGS,4,1
35,PUMP HOUSINGS,6,1
36,CONDENSER BOXES,81,1
37,HYDRAULIC PISTONS,81,1
38,BRAKE DRUMS,110,1
39,TRACTOR GEAR HOUSINGS,110,1
40,MOTOR BASES,111,1
41,TIN PLATE MILL ROLLS,111,1
42,GEARS,111,1
43,VALVE SEATS,111,1
44,PRESS RAMS,111,1
45,SHIP PROPELLERS,111,2
46,SHIP FITTINGS,111,1
47,PROPELLER GEAR HOUSINGS,108,1
48,POWER PLANT VALVES,109,1
49,MARINE PROPULSION SYSTEMS,109,1
50,OIL RECOVERY PUMPS,109,1
51,PIPING SYSTEMS,109,1
52,IMPELLERS,5,1
53,TURBINE RUNNERS,1,1
54,BREAKER BLOCKS,83,1
55,STEEL MILL ROLLS,83,1
56,MOULD CORES,112,1
57,MOULD PINS,112,1
58,REPAIR OF BLOW MOULDS,112,1
59,INJECTION MOULDS,113,1
60,BILLET MOULDS,113,1
61,CONDUCTOR ROLLS,113,1
62,HEATER ELEMENTS,113,1
63,COPPER SCULPTURES,113,1
64,COPPER CONNECTORS,113,1
65,BUS BARS,5,1
66,GEAR TEETH,1,1
67,FRICTION PLATES,6,1
68,PUMP SHAFTS,9,1
69,STRIPPER COLOUMNS,84,1
70,SLIDERS,84,1
71,WEAR PLATES,114,1
72,FORMING DIES,115,1
73,SHAFTS,115,4
74,GUIDE GROOVES,115,1
75,MARINE APPLICATIONS,115,1
76,OVERLAYING STEEL PARTS,115,1
77,FERROUS DIES,115,1
78,DRAWING TITANIUM,115,1
79,FABRICATING,114,1
80,ALUMINIUM BRONZE,114,6
81,NICKLE ALUMINIUM BRONZE WIRE,114,6
82,DEOXIDISED COPPER ALLOY,115,0
83,ALUMINIUM BRONZE FLUX CORE WIRE,115,4
84,NICKLE ALUMINIUM BRONZE MEATL CORE WIRE,115,6
85,FERROUS METALS,5,5
86,NON FERROUS METALS,1,0
87,HIGH CARNON STEEL,9,0
88,LOW CARBON STEEL,85,0
89,COPPER,85,0
90,BRONZE,116,0
91,COPPER NICKLE STEEL ALLOY,117,0
92,STEEL TO BRONZE,117,1
93,CAST IRON TO STEEL,117,1
94,CAST IRON TO BRONZE,117,1
95,COPPER TO STEEL,73,2
96,CAST NICKLE ALUMINIUM BRONZE,108,2
97,WROUGHT NICKLE ALUMINIUM BRONZE,108,2
98,COPPER BRONZE ALLOY,108,2
99,WROUGHT COPPER ALLOYS,108,1
100,DEOXIDE COPPER,73,1
101,COPPER CASTING,73,1
102,GALVANISED STEEL,18,1
103,COPPER BRONZE ALLOY,18,1
104,ALUMINIUM BRONZE,118,1
105,STAINLESS STEEL,118,1
106,MEDIUM CARBON STEEL,118,1
107,TITANIUM,118,1
108,MATERIALS,5,15
109,APPLICATIONS,5,23
110,MATERIALS,5,4
111,APPLICATIONS,5,8
112,MATERIALS,9,4
113,APPLICATIONS,9,8
114,MATERIALS,9,5
115,APPLICATIONS,9,10
116,MATERIALS,80,2
117,APPLICATIONS,80,5
118,CARBON STEEL,80,4
119,LINEAR FRICTION WELDING,80,2
120,ROTARY FRICTION WELDING,108,2
121,INCOMPLETE PENETRATION,109,1
122,BRITTLE WELD,92,1
123,POROSITY,93,1
124,SPATTER,94,1
125,WELDING MASK,95,1
126,LEATHER GLOVES,96,1
127,LEATHER APRON,97,1
128,SAFETY GLASSES,98,1
,,33,
,,34,
,,35,
,,36,
,,37,
,,38,
,,39,
,,40,
,,41,
,,42,
,,43,
,,44,
,,45,
,,101,
,,52,
,,53,
,,54,
,,55,
,,81,
,,81,
,,81,
,,81,
,,110,
,,111,
,,99,
,,100,
,,45,
,,46,
,,47,
,,48,
,,49,
,,50,
,,51,
,,102,
,,56,
,,57,
,,58,
,,59,
,,83,
,,83,
,,112,
,,113,
,,103,
,,104,
,,105,
,,60,
,,61,
,,62,
,,63,
,,64,
,,65,
,,84,
,,84,
,,84,
,,84,
,,113,
,,114,
,,106,
,,66,
,,67,
,,68,
,,69,
,,70,
,,71,
,,72,
,,108,
,,109,
,,110,
,,77,
,,78,
,,79,
,,85,
,,85,
,,85,
,,116,
,,117,
,,107,
,,73,
,,74,
,,75,
,,76,
,,9,
,,95,
,,96,
,,97,
,,98,
,,5,
,,1,
,,119,
,,120,
,,17,
,,15,
,,119,
,,120,
,,121,
,,122,
,,123,
,,124,
,,125,
,,126,
,,127,
,,128,